,Image,Category
,0,NEUTROPHIL
,1,NEUTROPHIL
,2,NEUTROPHIL
,3,NEUTROPHIL
,4,NEUTROPHIL
,5,NEUTROPHIL
,6,NEUTROPHIL
,7,NEUTROPHIL
,8,BASOPHIL
,9,EOSINOPHIL
,10,"NEUTROPHIL, EOSINOPHIL"
,11,NEUTROPHIL
,12,NEUTROPHIL
,13,NEUTROPHIL
,14,NEUTROPHIL
,15,MONOCYTE
,16,NEUTROPHIL
,17,EOSINOPHIL
,18,NEUTROPHIL
,19,NEUTROPHIL
,20,LYMPHOCYTE
,21,LYMPHOCYTE
,22,NEUTROPHIL
,23,EOSINOPHIL
,24,NEUTROPHIL
,25,
,26,EOSINOPHIL
,27,
,28,EOSINOPHIL
,29,NEUTROPHIL
,30,NEUTROPHIL
,31,"NEUTROPHIL,NEUTROPHIL"
,32,NEUTROPHIL
,33,NEUTROPHIL
,34,"NEUTROPHIL,BASOPHIL"
,35,NEUTROPHIL
,36,EOSINOPHIL
,37,LYMPHOCYTE
,38,LYMPHOCYTE
,39,NEUTROPHIL
,40,MONOCYTE
,41,EOSINOPHIL
,42,EOSINOPHIL
,43,"NEUTROPHIL, MONOCYTE"
,44,"EOSINOPHIL,EOSINOPHIL"
,45,EOSINOPHIL
,46,NEUTROPHIL
,47,LYMPHOCYTE
,48,EOSINOPHIL
,49,EOSINOPHIL
,50,NEUTROPHIL
,51,
,52,NEUTROPHIL
,53,NEUTROPHIL
,54,LYMPHOCYTE
,55,LYMPHOCYTE
,56,EOSINOPHIL
,57,EOSINOPHIL
,58,EOSINOPHIL
,59,EOSINOPHIL
,60,
,61,
,62,EOSINOPHIL
,63,NEUTROPHIL
,64,EOSINOPHIL
,65,"NEUTROPHIL, NEUTROPHIL"
,66,NEUTROPHIL
,67,NEUTROPHIL
,68,EOSINOPHIL
,69,EOSINOPHIL
,70,"EOSINOPHIL, LYMPHOCYTE"
,71,NEUTROPHIL
,72,NEUTROPHIL
,73,NEUTROPHIL
,74,NEUTROPHIL
,75,EOSINOPHIL
,76,LYMPHOCYTE
,77,NEUTROPHIL
,78,NEUTROPHIL
,79,NEUTROPHIL
,80,
,81,NEUTROPHIL
,82,NEUTROPHIL
,83,MONOCYTE
,84,
,85,
,86,NEUTROPHIL
,87,NEUTROPHIL
,88,EOSINOPHIL
,89,LYMPHOCYTE
,90,EOSINOPHIL
,91,NEUTROPHIL
,92,NEUTROPHIL
,93,EOSINOPHIL
,94,EOSINOPHIL
,95,EOSINOPHIL
,96,EOSINOPHIL
,97,EOSINOPHIL
,98,NEUTROPHIL
,99,LYMPHOCYTE
,100,EOSINOPHIL
,101,EOSINOPHIL
,102,
,103,"EOSINOPHIL, EOSINOPHIL"
,104,MONOCYTE
,105,
,106,NEUTROPHIL
,107,EOSINOPHIL
,108,EOSINOPHIL
,109,EOSINOPHIL
,110,MONOCYTE
,111,LYMPHOCYTE
,112,NEUTROPHIL
,113,NEUTROPHIL
,114,EOSINOPHIL
,115,NEUTROPHIL
,116,MONOCYTE
,117,
,118,
,119,
,120,LYMPHOCYTE
,121,
,122,
,123,EOSINOPHIL
,124,NEUTROPHIL
,125,NEUTROPHIL
,126,NEUTROPHIL
,127,MONOCYTE
,128,
,129,
,130,NEUTROPHIL
,131,
,132,BASOPHIL
,133,EOSINOPHIL
,134,LYMPHOCYTE
,135,EOSINOPHIL
,136,NEUTROPHIL
,137,EOSINOPHIL
,138,
,139,EOSINOPHIL
,140,LYMPHOCYTE
,141,EOSINOPHIL
,142,NEUTROPHIL
,143,EOSINOPHIL
,144,EOSINOPHIL
,145,NEUTROPHIL
,146,
,147,EOSINOPHIL
,148,LYMPHOCYTE
,149,EOSINOPHIL
,150,NEUTROPHIL
,151,
,152,EOSINOPHIL
,153,
,154,EOSINOPHIL
,155,
,156,NEUTROPHIL
,157,LYMPHOCYTE
,158,EOSINOPHIL
,159,NEUTROPHIL
,160,EOSINOPHIL
,161,NEUTROPHIL
,162,EOSINOPHIL
,163,NEUTROPHIL
,164,NEUTROPHIL
,165,EOSINOPHIL
,166,NEUTROPHIL
,167,NEUTROPHIL
,168,NEUTROPHIL
,169,NEUTROPHIL
,170,NEUTROPHIL
,171,BASOPHIL
,172,NEUTROPHIL
,173,
,174,NEUTROPHIL
,175,NEUTROPHIL
,176,"MONOCYTE, LYMPHOCYTE"
,177,EOSINOPHIL
,178,NEUTROPHIL
,179,NEUTROPHIL
,180,EOSINOPHIL
,181,
,182,NEUTROPHIL
,183,EOSINOPHIL
,184,EOSINOPHIL
,185,
,186,
,187,EOSINOPHIL
,188,
,189,NEUTROPHIL
,190,NEUTROPHIL
,191,LYMPHOCYTE
,192,NEUTROPHIL
,193,"NEUTROPHIL, EOSINOPHIL"
,194,
,195,"LYMPHOCYTE, LYMPHOCYTE"
,196,MONOCYTE
,197,NEUTROPHIL
,198,NEUTROPHIL
,199,NEUTROPHIL
,200,EOSINOPHIL
,201,NEUTROPHIL
,202,EOSINOPHIL
,203,NEUTROPHIL
,204,EOSINOPHIL
,205,NEUTROPHIL
,206,LYMPHOCYTE
,207,NEUTROPHIL
,208,EOSINOPHIL
,209,NEUTROPHIL
,210,NEUTROPHIL
,211,LYMPHOCYTE
,212,NEUTROPHIL
,213,
,214,NEUTROPHIL
,215,NEUTROPHIL
,216,NEUTROPHIL
,217,LYMPHOCYTE
,218,NEUTROPHIL
,219,EOSINOPHIL
,220,EOSINOPHIL
,221,NEUTROPHIL
,222,NEUTROPHIL
,223,NEUTROPHIL
,224,LYMPHOCYTE
,225,MONOCYTE
,226,EOSINOPHIL
,227,NEUTROPHIL
,228,EOSINOPHIL
,229,LYMPHOCYTE
,230,NEUTROPHIL
,231,NEUTROPHIL
,232,MONOCYTE
,233,LYMPHOCYTE
,234,NEUTROPHIL
,235,NEUTROPHIL
,236,EOSINOPHIL
,237,NEUTROPHIL
,238,
,239,NEUTROPHIL
,240,EOSINOPHIL
,241,LYMPHOCYTE
,242,"NEUTROPHIL,EOSINOPHIL"
,243,NEUTROPHIL
,244,NEUTROPHIL
,245,NEUTROPHIL
,246,NEUTROPHIL
,247,NEUTROPHIL
,248,NEUTROPHIL
,249,"NEUTROPHIL, NEUTROPHIL"
,250,NEUTROPHIL
,251,EOSINOPHIL
,252,NEUTROPHIL
,253,EOSINOPHIL
,254,LYMPHOCYTE
,255,MONOCYTE
,256,NEUTROPHIL
,257,NEUTROPHIL
,258,LYMPHOCYTE
,259,EOSINOPHIL
,260,NEUTROPHIL
,261,EOSINOPHIL
,262,MONOCYTE
,263,NEUTROPHIL
,264,LYMPHOCYTE
,265,EOSINOPHIL
,266,NEUTROPHIL
,267,NEUTROPHIL
,268,NEUTROPHIL
,269,EOSINOPHIL
,270,LYMPHOCYTE
,271,EOSINOPHIL
,272,NEUTROPHIL
,273,NEUTROPHIL
,274,EOSINOPHIL
,275,LYMPHOCYTE
,276,NEUTROPHIL
,277,EOSINOPHIL
,278,MONOCYTE
,279,NEUTROPHIL
,280,NEUTROPHIL
,281,MONOCYTE
,282,NEUTROPHIL
,283,LYMPHOCYTE
,284,EOSINOPHIL
,285,NEUTROPHIL
,286,
,287,NEUTROPHIL
,288,NEUTROPHIL
,289,EOSINOPHIL
,290,EOSINOPHIL
,291,MONOCYTE
,292,EOSINOPHIL
,293,NEUTROPHIL
,294,NEUTROPHIL
,295,NEUTROPHIL
,296,NEUTROPHIL
,297,NEUTROPHIL
,298,NEUTROPHIL
,299,EOSINOPHIL
,300,NEUTROPHIL
,301,NEUTROPHIL
,302,NEUTROPHIL
,303,NEUTROPHIL
,304,NEUTROPHIL
,305,LYMPHOCYTE
,306,
,307,NEUTROPHIL
,308,NEUTROPHIL
,309,MONOCYTE
,310,NEUTROPHIL
,311,NEUTROPHIL
,312,MONOCYTE
